S5B,decision,You are too slow. As you look back| terrified| you and your team are mobbed by the aliens. Within the next minute| you are all tied up| sitting in a row on the ground. %newline%All the aliens stare at you viciously| drooling. Amongst the thong of extraterrestrial creatures| one of your colleagues steps out.%newline%“Welcome| %playername%| to our base|” he smiles wickedly. You have finally found the place which you have been looking for – the only problem is it seems like we are the ones in control. In fact| we have no use for your security team as they would never be beneficial to us| so we might as well show you how serious we are when we threaten to kill you.” He nods to the alien next to him| who efficiently raises his rifle and shoots all 5 of your team in the head. They slump to the ground| limp| with shocked faces. “Our master species are going to take over this space station| and we are asking for your help to do this|” he says. “If you help us| you will be treated equally once we have taken over the rest of your species. If not| we will just tie you up now and let you watch us overruling you friends| then kill you once we have been successful. What do you want to do? We don’t mind either way…”%newline%Type ‘J’ to join or ‘R’ to refuse.,,,,,,,j,,S5BA,r,,S5BB,,,
S5AA,normal,You carry on holding the door until suddenly the aliens start shooting through it. Luckily| all of their bullets miss you and harmlessly hit the far wall but it is only so long until one of the bullets find their target.,S8,,,,,,,,,,,,,,
S5AB,normal,The aliens start shooting through the door and one of the bullets hits you| sliding cleanly through your chest. You yell out in pain and one of the security guards rushes to the first aid kit| pulling out a bandage and some tape. He wraps it around the bullet’s entry and exit point and inspects you. “You were lucky| %playername% | that the bullet did not hit any vital organs. It just went through your flesh so you still have a chance to survive.,S8,,,,,,,,,,,,,,
S5BA,normal,,S3A,,,,,,,,,,,,,,
S5BB,normal,,S3B,,,,,,,,,,,,,,
S6,decision,You are commanded to go back to your lab and act normal while secretly obtaining chemicals and weapons for them.%newline%Type ‘A’ to accept their command or ‘F’ to try and fight back.,,,,,,,a,,S6A,f,,S6B,,,
S6A,decision,For the next month| you become their slave and repeatedly get everything they need for the attack. You still try to act normal| but people start to notice your chance of behaviour. %newline%You begin to be questioned by other people in the space station as you do your everyday tasks. What do you say?%newline%Type ‘T’ to tell them the truth or type ‘L’ to lie and pretend everything is fine.,,,,,,,t,,S6AA,l,,S6AB,,,
S6B,decision,You quickly change your mind| determined not to help them. It is probably too late – the suicide device is already in your bloodstream – but you might as well give it a try| you’ll probably end up dead anyway. %newline%How are you going to fight back?%newline%Type ‘R’ to report it to security or ‘F’ to physically go back and fight the aliens.,,,,,,,r,,S6BA,f,,S6BB,,,
S6AA,normal,You quickly tell them the truth but they obviously don’t believe you – it sounds completely made up. %newline%You decide to go to the security centre| where you are sure that someone will listen.%newline%It is probably too late – the suicide device that you swallowed is already in your bloodstream – but it’s worth a try.,S6BA,,,,,,,,,,,,,,
S6AB,question,You say that everything is fine and they stop pestering you but you can see that they don’t believe you.%newline%You continue your undercover job daily until your traitorous colleague calls for you. When you see him| he explains that you have become too much of a risk to the mission as people have noticeably been very suspicious of you. He then explains that unfortunately| due to unforeseen consequences| he will have to kill you.,,,,S6ABA,,S6ABB,,,,,,,,,
S6BA,question,Worried that the suicide device will activate at any moment| you slowly amble towards the security centre.,,,,S6BAA,,S6BAB,,,,,,,,,
S6BB,question,You return to the alien hideout and find your traitorous colleague on a computer in the corner. There is no one else in sight but you can see that he has a remote with a big red button on his desk – probably the activation system for the suicide device you have in your bloodstream.%newline%As you approach him| he sees you and picks up the remote.,,,,S6BBA,,S6BBB,,,,,,,,,
S6ABA,normal,You quickly dive on him and wrench the remote from his hand successfully. As he recovers from the ground| you run as fast as you can to the security department| knowing that there is a high chance that there is a backup remote.,S9,,,,,,,,,,,,,,
S6ABB,normal,You step forward to try to stop your inevitable fate but it is too late – he presses a button in a remote on his hand and you suddenly feel very drowsy. You sway side to side and then fall and lose consciousness.%newline%%newline%You lose – the aliens have killed you.,end,,,,,,,,,,,,,,
S6BAA,normal,,S9,,,,,,,,,,,,,,
S6BAB,normal,Suddenly| you start to feel very drowsy. You sway side to side and then fall and lose consciousness.%newline%%newline%You lose – the aliens have killed you.,end,,,,,,,,,,,,,,
S6BBA,normal,,S6ABA,,,,,,,,,,,,,,
S6BBB,normal,,S6ABB,,,,,,,,,,,,,,
S7,decision,You are kept captive for weeks| doing the same monotonous activities every day of eating and sleeping.%newline%Eventually| your traitorous colleague comes to see you again| asking if you’ve changed your mind. %newline%Type ‘J’ to join the aliens or ‘R’ to refuse for longer.,,,,,,,j,,S7A,r,,S7B,,,
S7A,normal,,S3A,,,,,,,,,,,,,,
S7B,decision,Your captivity continues and you slowly lose your mind| with no social interaction.%newline%Your colleague comes again| giving you your final choice.%newline%“%playername% - Your resilience to join us is outstanding| but our patience is growing thin. You have two choices – you can join us| or we will now have to kill you|” he says.%newline%Type ‘J’ to join the aliens or ‘R’ to refuse and be killed.,,,,,,,j,,S7AA,r,,S7AB,,,
S7AA,normal,,S3A,,,,,,,,,,,,,,
S7AB,normal,Your colleague looks sadly at you. “It’s your choice|” he says.%newline%Then he picks up a gun from inside his coat| aims and fires.%newline%%newline%You lose – the aliens have killed you.,end,,,,,,,,,,,,,,
S8,question,From the distance| you can hear running feet| and it quickly gets louder. Hopeful| you and the others in your team start shouting for help. %newline%The reinforcements find you| and there are more people than you expected. It turns out that once people knew what was going on| everyone came to help. Most humans on the space station are all armoured up| ready for battle.%newline%You make eye contact and mouth a silent countdown. “3| 2| 1|” you suddenly open the door and everyone rushes in| shooting at any alien in their sight. Shocked| the aliens try to recover| but to no avail. Slowly but steadily their numbers weaken.,,,,S8A,,S8B,,,,,,,,,
S8A,decision,Everyone keeps on fighting until eventually there is just one alien left. This alien puts his hands up| scared. Everyone looks at you| silently asking for your opinion.%newline%Type ‘K’ to kill it| ‘T’ to use it for testing or ‘H’ to try and help it.,,,,,,,k,,S8AA,t,,S8AB,h,,S8AC
S8B,normal,You feel a punch in your leg and then agonizing pain. When you look down| you see that it is bleeding rapidly from a deep hole - You have been shot. You run to the first aid point and the medic patches you up with a bandage. She recommends that you go to the medical ward but you insist that you want to still help in the fight.,S8A,40,,,,,,,,,,,,,
S8AA,normal,“Kill it|” you order. As soon as the command leaves your lips| the alien is shot.%newline%%newline%You win – you saved the human race aboard the space station.,end,,,,,,,,,,,,,,
S8AB,normal,“Leave it|” you order| “we’ll use it for testing.” %newline%%newline%You win – you saved the human race aboard the space station.,end,,,,,,,,,,,,,,
S8AC,normal,“Leave it|” you order| “this one seems friendly.” Everyone obeys you| and the alien is allowed to live.%newline%%newline%You win – you saved the human race aboard the space station.,end,,,,,,,,,,,,,,
S9,question,You go to the security centre with the suicide device in your bloodstream| knowing fully that this could be the last walk you will take.,,,,S9A,,S9B,,,,,,,,,
S9A,question,You manage to make it to the security centre and they let you in. You explain everything you know and tell them where their hideout is located. You also explain about the suicide and monitoring devices and they look at you sadly. They explain that they think you should go to the medical bay to try and get it taken out| but until then you can’t stay any longer – if the aliens are monitoring you| they could hear their plans. Despite this| they are eternally thankful for everything you have told them – you might have just saved the human race.%newline%You go to the medical bay and are laid down on the operating table.,,,,S9AA,,S9AB,,,,,,,,,
S9B,normal,Suddenly| you start to feel very drowsy and collapse to the floor.%newline%%newline%You lose – the aliens have killed you.,end,,,,,,,,,,,,,,
S9AA,normal,You fall asleep| and when you wake up the nurse is smiling at you. “You were lucky %playername%| she says. We’ve removed the suicide and monitoring devices without them activating. Unfortunately| you still need to recover and will not be able to take part in the battle| but we will let you know as soon as possible when the aliens have been taken care of.”%newline%%newline%You win – you saved the human race aboard the space station.,end,,,,,,,,,,,,,,
S9AB,normal,You fall asleep from the aesthetic but never wake up.%newline%%newline%You lose – the aliens have killed you| however the humans still won in the end.,end,,,,,,,,,,,,,,
